metabolite_id	col	row	cor_cdata	cor_pdata	cor_qdata	genus	id	chemical_name
82	COMPID_18477	537	15	0.196083043426873	1.08885662932163e-05	0.00897217862561019	Ruminococcus	18477	glycodeoxycholate
83	COMPID_18477	537	26	0.213473006108779	1.60508523097419e-06	0.00231083028105908	Coprococcus	18477	glycodeoxycholate
84	COMPID_18497	780	2	-0.166997234151246	0.000186904745806711	0.0494605870848892	Romboutsia	18497	taurocholate
87	COMPID_19263	78	10	-0.167653682834048	0.000176140632033989	0.0473954864084721	Fusicatenibacter	19263	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
88	COMPID_20693	777	41	0.195747466827795	1.12802567481713e-05	0.0090883775258155	Clostridium_IV	20693	tartronate (hydroxymalonate)
94	COMPID_2125	778	50	0.212646768306834	1.76449553156143e-06	0.00243421824850652	Bacillus	2125	taurine
95	COMPID_22036	135	41	-0.169205186715046	0.000152965456657423	0.0432149267265313	Clostridium_IV	22036	2-hydroxyoctanoate
101	COMPID_27513	581	102	0.185530349622107	3.21492729885729e-05	0.0165725693100526	Sutterella	27513	indoleacetate
102	COMPID_27513	581	24	0.225546112724148	3.85406142377298e-07	0.000891911814767957	Prevotella	27513	indoleacetate
103	COMPID_27513	581	106	0.182716704055531	4.24840952412906e-05	0.0202671494351083	Mitsuokella	27513	indoleacetate
109	COMPID_27738	791	45	0.181379204657919	4.84327724734079e-05	0.0220854374003772	Clostridium_XlVb	27738	threonate
113	COMPID_31530	793	50	0.197958826721451	8.92680214053185e-06	0.00783558264883575	Bacillus	31530	threonylphenylalanine
115	COMPID_31787	166	40	-0.223060685103681	5.20408447745843e-07	0.00107356346104516	Psychrobacter	31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
117	COMPID_31787	166	24	-0.200649855714408	6.69103182706611e-06	0.00627388060143385	Prevotella	31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
118	COMPID_31787	166	50	-0.185671305501545	3.1699988876783e-05	0.0165600184700136	Bacillus	31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
121	COMPID_31787	166	18	0.213421216285805	1.614657816274e-06	0.00231083028105908	Anaerostipes	31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
126	COMPID_31912	540	19	0.253727819033862	1.00093841939393e-08	0.000124571025169981	Gemmiger	31912	glycolithocholate
127	COMPID_31912	540	47	0.173271929361111	0.000105064280468458	0.0352704680802259	Methanobrevibacter	31912	glycolithocholate
129	COMPID_31912	540	26	0.177485420779188	7.05532858247707e-05	0.0273093942796749	Coprococcus	31912	glycolithocholate
131	COMPID_32377	298	41	-0.181313107504171	4.87462646405711e-05	0.0220854374003772	Clostridium_IV	32377	N-acetylneuraminate
132	COMPID_32398	727	117	0.191760164396039	1.70879503078048e-05	0.0116163886192457	Geobacillus	32398	sebacate (C10-DC)
133	COMPID_32398	727	18	-0.201881434462201	5.85636597532826e-06	0.00573860553517572	Anaerostipes	32398	sebacate (C10-DC)
135	COMPID_32398	727	50	0.261589864518968	3.32927981879435e-09	7.24238214661248e-05	Bacillus	32398	sebacate (C10-DC)
136	COMPID_32398	727	40	0.182067575829421	4.52791956430284e-05	0.0212281359987108	Psychrobacter	32398	sebacate (C10-DC)
137	COMPID_32405	585	15	0.191227379390799	1.8051486519337e-05	0.012045546538253	Ruminococcus	32405	indolepropionate
138	COMPID_32405	585	19	0.179526791853876	5.79818561670401e-05	0.0240708798915138	Gemmiger	32405	indolepropionate
141	COMPID_32418	638	10	-0.181231010859348	4.91383113681531e-05	0.0220854374003772	Fusicatenibacter	32418	myristoleate (14:1n5)
145	COMPID_32452	707	24	0.20048010557407	6.81460771313525e-06	0.00628145128595166	Prevotella	32452	propionylcarnitine (C3)
151	COMPID_32620	541	19	0.239577018637361	6.62614534880646e-08	0.000327596626044991	Gemmiger	32620	glycolithocholate sulfate*
152	COMPID_32620	541	26	0.246751427818602	2.57868710400934e-08	0.000200341884949206	Coprococcus	32620	glycolithocholate sulfate*
153	COMPID_32620	541	15	0.20423642866031	4.52887491030226e-06	0.00473650640618996	Ruminococcus	32620	glycolithocholate sulfate*
155	COMPID_33228	30	102	-0.171566009710341	0.000123122875773034	0.038929735325818	Sutterella	33228	1-arachidonoyl-GPC (20:4n6)*
158	COMPID_33955	83	50	-0.178286027955842	6.53438910416673e-05	0.026011998802538	Bacillus	33955	1-palmitoyl-GPC (16:0)
159	COMPID_33969	761	21	-0.169457709965108	0.000149475813135765	0.0424495698254593	Faecalibacterium	33969	stearidonate (18:4n3)
162	COMPID_34428	82	118	-0.211613110645392	1.9853515834481e-06	0.00251212103155981	Paracoccus	34428	1-palmitoyl-GPA (16:0)
163	COMPID_34428	82	34	0.174108206944367	9.71512904041133e-05	0.0338684344701109	Lactococcus	34428	1-palmitoyl-GPA (16:0)
164	COMPID_34428	82	80	-0.171396111072695	0.000125072965269774	0.0392211130603569	Veillonella	34428	1-palmitoyl-GPA (16:0)
165	COMPID_34428	82	40	-0.20973047901393	2.4573523222639e-06	0.0029697921932	Psychrobacter	34428	1-palmitoyl-GPA (16:0)
166	COMPID_34445	758	50	0.192677724983969	1.55420594237538e-05	0.0110056340338573	Bacillus	34445	sphingosine 1-phosphate
169	COMPID_35153	41	85	-0.168794429437776	0.000158805532386556	0.0445179385222189	Rubrobacter	35153	1-docosahexaenoylglycerol (22:6)
170	COMPID_35157	335	41	-0.168813354690464	0.000158531922111128	0.0445179385222189	Clostridium_IV	35157	N6-carbamoylthreonyladenosine
171	COMPID_35172	663	41	-0.190194871454753	2.00675533063449e-05	0.0126901606861891	Clostridium_IV	35172	orotidine
172	COMPID_35320	408	19	0.188462401777992	2.39384946512826e-05	0.0138496924799505	Gemmiger	35320	catechol sulfate
176	COMPID_36099	209	47	0.212361451669631	1.82298537114509e-06	0.00243421824850652	Methanobrevibacter	36099	4-ethylphenylsulfate
177	COMPID_36099	209	61	0.184475048164275	3.5709713620207e-05	0.0178834097483156	Alistipes	36099	4-ethylphenylsulfate
178	COMPID_36103	666	26	0.209971228784911	2.39149178810617e-06	0.00292267167200822	Coprococcus	36103	p-cresol sulfate
180	COMPID_36103	666	15	0.219047247035238	8.39067077052883e-07	0.00144862933074425	Ruminococcus	36103	p-cresol sulfate
182	COMPID_36600	49	40	0.187383790221805	2.66956422146556e-05	0.0150447233803298	Psychrobacter	36600	1-linoleoyl-GPE (18:2)*
183	COMPID_36746	123	10	-0.178256812745848	6.5527431523016e-05	0.026011998802538	Fusicatenibacter	36746	2-hydroxy-3-methylvalerate
184	COMPID_36746	123	41	-0.177653017257039	6.94313717801829e-05	0.0270898766367771	Clostridium_IV	36746	2-hydroxy-3-methylvalerate
185	COMPID_36850	784	15	0.207961581279523	2.99733533053173e-06	0.00343172809717132	Ruminococcus	36850	taurolithocholate 3-sulfate
187	COMPID_36850	784	19	0.194331049025448	1.3086211958794e-05	0.00974904864612398	Gemmiger	36850	taurolithocholate 3-sulfate
189	COMPID_36850	784	26	0.235675418688035	1.09335830697576e-07	0.000416727495162896	Coprococcus	36850	taurolithocholate 3-sulfate
190	COMPID_37114	337	117	0.171865612776132	0.000119753494420962	0.0380858131028632	Geobacillus	37114	N6-methyladenosine
191	COMPID_37181	207	30	-0.195055579944691	1.213057459054e-05	0.00946499299106634	Eggerthella	37181	4-allylphenol sulfate
193	COMPID_37207	364	50	-0.179640948927642	5.7345368146781e-05	0.0239772269438675	Bacillus	37207	androstenediol (3alpha, 17alpha) monosulfate (2)
195	COMPID_37445	212	47	0.174930736762795	8.99182610980487e-05	0.0320586662824753	Methanobrevibacter	37445	4-hydroxycoumarin
196	COMPID_37445	212	26	0.202937584441181	5.22062726209086e-06	0.00524163833299907	Coprococcus	37445	4-hydroxycoumarin
197	COMPID_37445	212	19	0.217565403578443	9.98644183447355e-07	0.00162120194843585	Gemmiger	37445	4-hydroxycoumarin
198	COMPID_37445	212	20	0.176079919851383	8.06582018436481e-05	0.029893365420296	Holdemanella	37445	4-hydroxycoumarin
200	COMPID_37445	212	24	0.192407882789633	1.59823131702839e-05	0.0112152531542286	Prevotella	37445	4-hydroxycoumarin
201	COMPID_37445	212	30	-0.235548960345612	1.11108941597933e-07	0.000416727495162896	Eggerthella	37445	4-hydroxycoumarin
204	COMPID_38399	259	50	0.194350433553414	1.30597371491467e-05	0.00974904864612398	Bacillus	38399	9,10-DiHOME
205	COMPID_38637	418	20	0.194436071209739	1.29433842779306e-05	0.00974904864612398	Holdemanella	38637	cinnamoylglycine
206	COMPID_38637	418	47	0.199477817605977	7.58981331612601e-06	0.00693721693082684	Methanobrevibacter	38637	cinnamoylglycine
208	COMPID_38637	418	24	0.190266462624997	1.9921136970016e-05	0.0126712410874544	Prevotella	38637	cinnamoylglycine
209	COMPID_38637	418	30	-0.182095971675473	4.51533724144271e-05	0.0212281359987108	Eggerthella	38637	cinnamoylglycine
210	COMPID_38637	418	73	0.174720700783097	9.17154304800239e-05	0.0324941496496783	Sporobacter	38637	cinnamoylglycine
211	COMPID_38637	418	19	0.232158806768955	1.70441234495095e-07	0.00054525153510478	Gemmiger	38637	cinnamoylglycine
212	COMPID_38637	418	15	0.189806283848154	2.08802709980657e-05	0.0129777446623863	Ruminococcus	38637	cinnamoylglycine
213	COMPID_38637	418	26	0.248771601350713	1.96632453312327e-08	0.000194430169835229	Coprococcus	38637	cinnamoylglycine
215	COMPID_39379	546	19	-0.187125671288644	2.73987311518436e-05	0.0152186965150608	Gemmiger	39379	glycoursodeoxycholate
216	COMPID_39587	159	30	0.227711041709242	2.95860494712837e-07	0.000766194149736331	Eggerthella	39587	3-(4-hydroxyphenyl)propionate
218	COMPID_39587	159	54	-0.171793816472842	0.00012055293741556	0.0382282854134566	Slackia	39587	3-(4-hydroxyphenyl)propionate
220	COMPID_39600	176	15	0.16777883184797	0.000174155622260758	0.047238301052514	Ruminococcus	39600	3-hydroxyhippurate
222	COMPID_40478	474	20	0.225179566769016	4.02946965792669e-07	0.000913077824486188	Holdemanella	40478	equol sulfate
223	COMPID_40478	474	47	0.227817339650492	2.92024513529079e-07	0.000766194149736331	Methanobrevibacter	40478	equol sulfate
224	COMPID_40478	474	30	-0.213552642581986	1.59047163908034e-06	0.00231083028105908	Eggerthella	40478	equol sulfate
225	COMPID_40478	474	24	0.254207328761659	9.36923745677905e-09	0.000124571025169981	Prevotella	40478	equol sulfate
226	COMPID_40703	705	100	0.188994094029754	2.26809387083165e-05	0.013578039609898	Faecalicoccus	40703	prolylglycine
227	COMPID_40730	579	41	-0.196085106342958	1.08861989515733e-05	0.00897217862561019	Clostridium_IV	40730	imidazole propionate
228	COMPID_40730	579	19	-0.197952422916841	8.93288695623375e-06	0.00783558264883575	Gemmiger	40730	imidazole propionate
231	COMPID_40730	579	26	-0.212145110668077	1.86856860669439e-06	0.00243421824850652	Coprococcus	40730	imidazole propionate
232	COMPID_42027	565	40	0.192211207775706	1.63106323347799e-05	0.0112878712776615	Psychrobacter	42027	histidylalanine
233	COMPID_42087	583	50	0.178615491768268	6.33073828010066e-05	0.025408920341328	Bacillus	42087	indoleacetylglutamine
237	COMPID_42382	341	41	-0.169714812303481	0.000145999756868222	0.041592888688444	Clostridium_IV	42382	S-adenosylhomocysteine (SAH)
238	COMPID_42395	807	50	0.235224892373271	1.15780357901241e-07	0.000419773265606739	Bacillus	42395	undecanedioate (C11-DC)
242	COMPID_43592	219	50	-0.188873329114282	2.29609456906641e-05	0.013578039609898	Bacillus	43592	4-methylbenzenesulfonate
245	COMPID_44620	206	47	0.194394434055213	1.29998315121701e-05	0.00974904864612398	Methanobrevibacter	44620	4-acetylphenol sulfate
246	COMPID_44664	520	62	-0.1712159572307	0.000127172448702358	0.0396340770786764	Rothia	44664	glutarylcarnitine (C5-DC)
247	COMPID_44675	459	40	-0.187772246781616	2.56696869754611e-05	0.0146180131567903	Psychrobacter	44675	docosahexaenoate (DHA; 22:6n3)
251	COMPID_46537	358	10	-0.198484156522627	8.44086805245794e-06	0.00758757302751855	Fusicatenibacter	46537	alpha-hydroxyisovalerate
253	COMPID_48187	303	50	0.193628705550382	1.4080626694928e-05	0.0103481189483374	Bacillus	48187	N-acetyltaurine
256	COMPID_48351	326	41	-0.172934176082813	0.000108428902613283	0.0359456196094939	Clostridium_IV	48351	N1-methylinosine
257	COMPID_48429	630	62	-0.208236677519479	2.90648265951979e-06	0.00341207138919493	Rothia	48429	methyl-4-hydroxybenzoate sulfate
262	COMPID_48441	211	40	-0.176733599948012	7.57997609012854e-05	0.0286270430337188	Psychrobacter	48441	4-hydroxychlorothalonil
264	COMPID_48445	143	24	-0.219757898578867	7.71519228449743e-07	0.00135349360387132	Prevotella	48445	2-methoxyresorcinol sulfate
265	COMPID_48460	709	62	-0.176682883120009	7.61666093792313e-05	0.0286660545638762	Rothia	48460	propyl 4-hydroxybenzoate sulfate
266	COMPID_48490	742	24	-0.175831858156154	8.25775715045083e-05	0.0303439097885215	Prevotella	48490	sphingomyelin (d18:1/20:0, d16:1/22:0)*
269	COMPID_48762	7	24	-0.207968125213388	2.99514295112453e-06	0.00343172809717132	Prevotella	48762	1,2,3-benzenetriol sulfate (2)
270	COMPID_48763	184	24	-0.207386959816416	3.19594907913081e-06	0.00358368030349381	Prevotella	48763	3-methoxycatechol sulfate (1)
271	COMPID_48841	665	15	0.221260604734771	6.45461993365263e-07	0.00118992559481954	Ruminococcus	48841	p-cresol glucuronide*
273	COMPID_48885	373	41	-0.166970808395937	0.000187350708654883	0.0494605870848892	Clostridium_IV	48885	arabitol/xylitol
274	COMPID_513	428	41	-0.166906890615607	0.000188433515718519	0.0496259967013847	Clostridium_IV	513	creatinine
276	COMPID_52431	68	15	-0.167411615567777	0.000180040436456804	0.0481145901536453	Ruminococcus	52431	1-palmitoleoylglycerol (16:1)*
281	COMPID_52446	95	50	0.184678688319878	3.49948272055509e-05	0.0177125571570623	Bacillus	52446	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
286	COMPID_52468	96	11	-0.169820296155985	0.00014459567555121	0.0415014391668491	Ruminococcus2	52468	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
290	COMPID_52602	113	50	0.174591239702618	9.28399538704657e-05	0.0327857665668273	Bacillus	52602	2'-deoxyuridine
291	COMPID_52605	732	62	0.167851216459428	0.000173017111388689	0.0470927069158217	Rothia	52605	sphinganine-1-phosphate
292	COMPID_52610	72	19	-0.171992583252218	0.000118351880168278	0.0377504319710946	Gemmiger	52610	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
295	COMPID_52690	47	118	-0.179233465354353	5.96480389423403e-05	0.0242988685381291	Paracoccus	52690	1-linoleoyl-GPA (18:2)*
297	COMPID_52690	47	40	-0.185585530672941	3.19726746718047e-05	0.0165600184700136	Psychrobacter	52690	1-linoleoyl-GPA (18:2)*
298	COMPID_527	597	50	0.223017400897361	5.23121354032374e-07	0.00107356346104516	Bacillus	527	lactate
302	COMPID_52944	672	102	-0.211018491224702	2.12414968335985e-06	0.00265562658344465	Sutterella	52944	palmitoylcholine
305	COMPID_52975	538	19	0.179850318433851	5.61951292754913e-05	0.0238759055509244	Gemmiger	52975	glycodeoxycholate 3-sulfate
306	COMPID_52975	538	26	0.201256132061321	6.26688875815322e-06	0.00608604425398937	Coprococcus	52975	glycodeoxycholate 3-sulfate
307	COMPID_52975	538	15	0.181165471384545	4.94534275597842e-05	0.0221355983902165	Ruminococcus	52975	glycodeoxycholate 3-sulfate
309	COMPID_531	170	41	-0.17382962362809	9.97227765609063e-05	0.0342526040627684	Clostridium_IV	531	3-hydroxy-3-methylglutarate
312	COMPID_53260	659	102	-0.175453957010809	8.55844759250274e-05	0.0310295075913779	Sutterella	53260	oleoylcholine
313	COMPID_53261	378	102	-0.229870662162641	2.26671425014676e-07	0.000689158989287561	Sutterella	53261	arachidonoylcholine
314	COMPID_53262	449	102	-0.195978798464309	1.1008834841891e-05	0.00900307479761504	Sutterella	53262	dihomo-linolenoyl-choline
316	COMPID_53263	460	102	-0.20720311240919	3.26210916767262e-06	0.00362054173417771	Sutterella	53263	docosahexaenoylcholine
317	COMPID_54805	199	96	0.174045935195635	9.77206192842053e-05	0.033958071304487	Atopobium	54805	3beta-hydroxy-5-cholestenoate
319	COMPID_54923	389	41	-0.179713596370665	5.69437603553608e-05	0.0239772269438675	Clostridium_IV	54923	beta-citrylglutamate
321	COMPID_554	350	40	-0.204311989880461	4.49145234730426e-06	0.00473650640618996	Psychrobacter	554	adenine
323	COMPID_57	516	15	-0.180208153912571	5.42795303562696e-05	0.0233354780940345	Ruminococcus	57	glutamate
326	COMPID_57463	615	102	-0.184437477236309	3.58431094175935e-05	0.0178834097483156	Sutterella	57463	linoleoylcholine*
327	COMPID_57475	741	24	-0.169915263291902	0.000143342434412503	0.0414911759990369	Prevotella	57475	sphingomyelin (d18:1/19:0, d19:1/18:0)*
328	COMPID_57511	612	96	0.169790385113753	0.000144992524303128	0.0415014391668491	Atopobium	57511	linolenoylcarnitine (C18:3)*
330	COMPID_57521	450	10	-0.17047198354864	0.000136198371842156	0.0411937346536359	Fusicatenibacter	57521	dihomo-linolenoylcarnitine (C20:3n3 or 6)*
331	COMPID_57521	450	67	0.167840457721599	0.000173185888922557	0.0470927069158217	Solobacterium	57521	dihomo-linolenoylcarnitine (C20:3n3 or 6)*
333	COMPID_57564	680	40	-0.212371118651454	1.82097359713917e-06	0.00243421824850652	Psychrobacter	57564	perfluorooctanesulfonate (PFOS)
334	COMPID_57564	680	111	0.170943393211334	0.00013041190969986	0.0401831234964147	Anaerotruncus	57564	perfluorooctanesulfonate (PFOS)
335	COMPID_57564	680	24	-0.229271727186087	2.44115795629959e-07	0.000689158989287561	Prevotella	57564	perfluorooctanesulfonate (PFOS)
336	COMPID_57564	680	50	-0.217327831173214	1.02679633171933e-06	0.00164239093247718	Bacillus	57564	perfluorooctanesulfonate (PFOS)
339	COMPID_57564	680	18	0.214265985907971	1.4651352676191e-06	0.00218301140806019	Anaerostipes	57564	perfluorooctanesulfonate (PFOS)
342	COMPID_57577	591	30	0.194552543182861	1.27867195317474e-05	0.00974904864612398	Eggerthella	57577	isoursodeoxycholate
344	COMPID_57577	591	19	-0.233593809429797	1.42319142658868e-07	0.000469083894203628	Gemmiger	57577	isoursodeoxycholate
346	COMPID_57577	591	26	-0.211609055236324	1.98626810012268e-06	0.00251212103155981	Coprococcus	57577	isoursodeoxycholate
348	COMPID_57591	390	24	0.167632536922069	0.000176478118522278	0.0473954864084721	Prevotella	57591	beta-cryptoxanthin
349	COMPID_57635	406	50	0.179925060719436	5.5789811976569e-05	0.0237966520355587	Bacillus	57635	carotene diol (1)
352	COMPID_57658	554	40	-0.244447785345851	3.50274539747724e-08	0.000212812090515969	Psychrobacter	57658	heneicosapentaenoate (21:5n3)
354	COMPID_57658	554	50	-0.189275665229057	2.20406144108465e-05	0.0134680536417919	Bacillus	57658	heneicosapentaenoate (21:5n3)
356	COMPID_590	575	50	0.222682550423648	5.44572938997821e-07	0.00107898094969231	Bacillus	590	hypotaurine
358	COMPID_60	603	121	-0.172301044795779	0.000115010779106368	0.0375085869618951	Neisseria	60	leucine
361	COMPID_6146	116	121	-0.192098936597755	1.65009150958754e-05	0.0112878712776615	Neisseria	6146	2-aminoadipate
363	COMPID_61860	650	40	0.170027145357455	0.000141879059799189	0.0414911759990369	Psychrobacter	61860	octadecadienedioate (C18:2-DC)*
364	COMPID_61873	632	117	0.176118591844178	8.03627936081706e-05	0.029893365420296	Geobacillus	61873	methylnaphthyl sulfate (2)*
365	COMPID_61873	632	52	0.171368657865034	0.000125390783016701	0.0392211130603569	Mogibacterium	61873	methylnaphthyl sulfate (2)*
368	COMPID_62066	531	73	0.192729457449042	1.54589840998371e-05	0.0110056340338573	Sporobacter	62066	glyco-beta-muricholate**
369	COMPID_62066	531	15	0.236230074657275	1.0187612942834e-07	0.000416727495162896	Ruminococcus	62066	glyco-beta-muricholate**
370	COMPID_62066	531	26	0.197711817912917	9.16439141227323e-06	0.0079110517867471	Coprococcus	62066	glyco-beta-muricholate**
371	COMPID_62066	531	61	0.173059297055355	0.000107170827486114	0.0356475735902435	Alistipes	62066	glyco-beta-muricholate**
372	COMPID_62066	531	19	0.210432449021699	2.27000725693676e-06	0.00280572896957383	Gemmiger	62066	glyco-beta-muricholate**
374	COMPID_62071	681	19	-0.186236997015474	2.99560286227306e-05	0.0161599733148321	Gemmiger	62071	perfluorooctanoate (PFOA)
375	COMPID_62103	436	50	0.174005660710657	9.8090505607305e-05	0.0339780513181381	Bacillus	62103	cysteinylglycine disulfide*
377	COMPID_62103	436	41	-0.176767266109744	7.55571650135744e-05	0.0286270430337188	Clostridium_IV	62103	cysteinylglycine disulfide*
378	COMPID_62146	529	52	-0.167268434234322	0.000182385090584016	0.0485028399331106	Mogibacterium	62146	glycine conjugate of C10H14O2 (1)*
380	COMPID_62146	529	24	-0.200784899136948	6.59425139096056e-06	0.00623690030688694	Prevotella	62146	glycine conjugate of C10H14O2 (1)*
382	COMPID_62146	529	30	0.16979224873202	0.000144967768659378	0.0415014391668491	Eggerthella	62146	glycine conjugate of C10H14O2 (1)*
385	COMPID_62277	571	30	0.170177727440337	0.000139931639490693	0.0413547393407032	Eggerthella	62277	hydroxy-CMPF*
386	COMPID_62277	571	35	-0.179962279519788	5.55890106933027e-05	0.0237966520355587	Pediococcus	62277	hydroxy-CMPF*
390	COMPID_62277	571	40	-0.215597404446582	1.25607873400847e-06	0.00189751627417547	Psychrobacter	62277	hydroxy-CMPF*
